Name,Active vote power,Locked vote power,Active vp %,Locked vp %,Reward rate,IQR rate 6h %,Elastic rate 6h %,Availability,Fee
Bifrost Wallet,1313621386,1313621386,3.85,3.97,0.0048,39.3,78.0,100.0,20
Atlas TSO,1010829278,1010829278,2.97,3.04,0.0077,65.0,85.0,100.0,20
EvolveFTSO,1006755628,1006755628,2.95,3.08,0.0055,57.9,81.5,100.0,20
EDP FTSO,1001582508,1001582508,2.94,2.89,0.0079,64.5,84.2,100.0,20
NORTSO,954090117,954090117,2.80,2.83,0.0067,55.6,82.4,100.0,
Flare Oracle,942028829,942028829,2.76,2.83,0.0055,41.5,75.7,100.0,20
Flare Beacon,932765800,932765800,2.74,2.83,0.0065,49.3,81.0,100.0,
Lena Instruments,911919090,911919090,2.68,2.77,0.0072,49.6,76.8,100.0,20
Solarius,893692734,893692734,2.62,2.66,0.0073,48.0,79.7,100.0,20
AlphaOracle,872351668,872351668,2.56,2.61,0.0068,49.2,81.1,100.0,20
AureusOx,858550944,858550944,2.52,2.59,0.0064,43.7,75.0,100.0,
Flare Dienst,843654798,843654798,2.48,2.58,0.0065,46.0,79.8,100.0,20
FlareFi,759194122,759194122,2.23,2.24,0.0063,41.1,77.7,100.0,20
FTSO AU,751529182,751529182,2.21,2.28,0.0056,32.6,73.8,100.0,20
Flare.Space,649040286,649040286,1.90,1.98,0.0068,40.3,77.7,100.0,20
Aternety,618926416,618926416,1.82,1.94,0.0059,36.7,70.0,100.0,
Ivy Oracle,608296877,608296877,1.78,1.84,0.0070,44.8,76.3,100.0,
FTSO Plus,590853745,590853745,1.73,1.91,0.0071,40.3,78.7,100.0,
Envision,545162345,545162345,1.60,1.65,0.0067,35.8,77.0,100.0,
O1 FTSO,484935321,484935321,1.42,1.51,0.0089,59.3,81.5,100.0,
A-FTSO,420473375,420473375,1.23,1.27,0.0038,22.9,64.7,100.0,20
LightFTSO,310635748,310635748,0.91,0.92,0.0072,45.1,79.2,100.0,16
ACDTftso,228508846,228508846,0.67,0.57,0.0082,54.8,84.0,100.0,18
Use Your Spark,215571041,215571041,0.63,0.65,0.0069,36.2,74.6,100.0,20
FTSO London,214147256,214147256,0.63,0.65,0.0066,41.3,75.7,100.0,20
Flare Ocean,157156154,157156154,0.46,Pending,N/A,48.3,82.9,100.0,
FTSO EU,145038616,145038616,0.43,0.44,0.0022,14.2,43.3,100.0,20
Defi Oracles,139738234,139738234,0.41,0.44,0.0049,28.2,71.6,100.0,20
TheGrungies,135097717,135097717,0.40,0.41,0.0077,54.2,80.0,100.0,20
Scandinodes,91930752,91930752,0.27,Pending,N/A,0.0,0.0,N/A,N/A
Hex Trust FTSO,64695421,64695421,0.19,0.20,0.0017,5.4,11.4,100.0,20
sToadz FTSO,60296575,60296575,0.18,0.17,0.0035,14.6,49.9,100.0,20
Google Cloud,58756822,58756822,0.17,0.18,0.0030,18.9,60.5,100.0,20
FTSO UK,48877455,48877455,0.14,Pending,N/A,10.2,22.9,100.0,N/A
FlareFTSO,42076448,42076448,0.12,0.13,0.0004,2.3,5.6,100.0,20
Mickey B Fresh,39110717,39110717,0.11,0.12,0.0013,4.8,20.4,100.0,20
WitterFTSO,34000664,34000664,0.10,0.10,0.0001,0.2,0.5,100.0,
Atomic Wallet,31466046,31466046,0.09,0.10,0.0001,2.0,8.2,100.0,20
FocusTSO,28389145,28389145,0.08,0.09,0.0009,2.8,12.5,100.0,
4DadsFTSO,27949970,27949970,0.08,0.08,0.0020,7.4,29.8,100.0,20
AFOracle,24860951,24860951,0.07,0.07,0.0027,17.7,46.7,100.0,20
Flare Portal,24653643,24653643,0.07,0.07,0.0011,7.3,21.1,100.0,20
Sparkles FTSO,24396532,24396532,0.07,Pending,N/A,9.0,17.7,100.0,N/A
Luganodes,23510181,23510181,0.07,0.07,0.0005,2.6,11.1,100.0,20
Oracle Daemon,23483716,23483716,0.07,0.07,0.0040,21.9,60.6,100.0,20
Burst FTSO,23310814,23310814,0.07,0.07,0.0038,17.3,39.4,100.0,
Sun-Dara,22656535,22656535,0.07,0.07,0.0010,4.8,24.1,100.0,20
HEWG,22530799,22530799,0.07,0.07,0.0022,12.3,42.9,100.0,20
