Address,Name,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime %,Fee %
MfzBQ6MbriE31UWm9NjSnEgLiR1cAkEnN,ANKR,199916923,29990100,169926823,83077,397,99.99,10.00
A7jk7Z5GA2aVe5ecuupNXWtSLfVjLDWFC,A41,199999937,30000000,169999937,63,315,99.98,7.50
8qSyua2WVQ4uNRc1wwPKmSUWY421bifiq,IntoTheBlock,132154575,30000000,102154575,67845425,276,100.00,10.00
EgJba99Q5iDcL81A27E111WANn9eZNj4v,Bifrost Wallet 1,46822039,3500000,43322039,5677961,225,100.00,20.00
HZwFckGTbucqTtE7qcv6z85mnScUfAeW6,FTSO AU 1,150282230,11000000,139282230,14717770,166,99.79,15.00
7joNh7X4xsHBSXCpLQig22nSqU6xp41k8,DataVector 1,111790731,7497535,104293196,672294,149,100.00,10.00
2q436GJKA5faTceNaAbu7CYxftv3K8fS4,Solarius,90535930,6750000,83785930,10714070,134,99.91,15.00
NzPsG7kxDpS49cqWhvwaNXbJYPvVgTu6N,Bifrost Wallet 2,51332000,3500000,47832000,1168000,133,100.00,20.00
F297gLgRxBndijAYvvvBGtQTwYCrScMQT,sToadz 2,62147600,4250000,57897600,1602400,122,100.00,20.00
MsF6Xc1PsMWtcxVudCepWb5kUeF1EF8RX,Atlas TSO,123047596,8500000,114547596,4452404,121,100.00,17.50
FHPDnySFVqde5bGvEXsFnvZGhXwcyRfNY,Kiln,168084048,15000000,153084048,31915952,115,99.99,2.00
MWNqxgXd8itY143jaNyq8aMYTeV1RXJgS,Luganodes,198393196,29900091,168493105,1606804,109,100.00,10.00
D3QKd6XxLnrKowkziZJSG4RNLtffz8ESk,FocusTSO 1,67500000,4500000,63000000,-0,104,99.89,19.00
FXJQRCN2nEqBYVsorBS5WHriwihjzv7G6,EvolveFTSO,164776220,11000000,153776220,223780,99,100.00,15.00
MzMscku8ayAd2pBEmH8xWiAXBwtPgS2S5,Use Your Spark,107006513,8000000,99006513,12993487,96,99.98,15.00
66rV9yEWSVGLC8fs9ynKptVf9f6bSbHC8,Flaris,102583928,7000000,95583928,2416072,95,97.43,10.00
G5kkF5H1AGaY3n9h9PCXdiFqjyP1jYhJW,FocusTSO 2,45781163,12368726,33412437,139749727,89,100.00,20.00
J8Zbi3b3AjTEUmHdE4KSApEU1U36iaeDS,Flare Oracle 1,113712444,8000000,105712444,6287556,86,100.00,18.00
KB4zWTTeK5gHYKYmjftGGQ8nHy9NQbGax,Kiln,199935571,15000000,184935571,64429,83,99.91,2.00
5V2bQbryZTU4pAe59KNHNBru1BwEfcXqg,Flare Dienst,109115556,13333334,95782222,90884444,82,99.98,15.00
2xbUrUGcj9HuntjA4YPHQFWiMuQz428SL,sToadz 1,18718763,1250000,17468763,31237,81,99.98,20.00
xi5DWBUKqBJUWvHiDEr9hpVNLGbxRtu2,SenseiNode,74455328,30000000,44455328,125544672,78,99.99,10.00
5jV2rg4CGt6ewiDbB9QeWDEptVudskJeY,Ivy Oracle,44076850,3000000,41076850,923150,70,100.00,15.00
7niiMEHRfGLgT6VZ7bwb6Xa6vpGn8upVw,PriceKraken,108574888,7250000,101324888,175112,67,99.98,10.00
P4T4uKqveVxjZZXVdADHENdnCKnsCFvDE,Aternety,40051569,3000000,37051569,4948431,59,99.98,15.00
B9o4BTqdc1qkrAn5BxLHL7pimWf9UwBkd,FTSO EU,39773190,4500000,35273190,27726810,57,99.99,13.00
LxpVHRQAYXPRf7q5oz1iT4N1z9XHz5rHU,Gateway.fm,199141641,29999900,169141741,858359,54,99.94,10.00
KzPd2Vx5WomGtur91B9K9R7to3mYyYga,FTSOCAN,44581002,3000000,41581002,418998,53,99.99,18.00
EJ7V3trSnp93txcLP3h4ULJvBhvUtP66c,SolidiFi,71969073,7500000,64469073,40530927,53,99.91,18.00
KRkND3cB1bYaWt71CSQdCUjRSR95d3cNz,AlphaOracle,41917397,5000000,36917397,33082603,52,99.94,20.00
