Name,Active vote power,Locked vote power,Active vp %,Locked vp %,Reward rate,IQR rate 6h %,Elastic rate 6h %,Availability,Fee
A-FTSO,375267315,375267315,4.42,4.40,0.0358,31.2,87.1,100.0,20
Bifrost Wallet,356049768,356049768,4.19,4.34,0.0408,41.5,88.4,100.0,20
EvolveFTSO,306677190,306677190,3.61,3.56,0.0667,61.5,91.7,100.0,20
FlareFi,281590696,281590696,3.31,2.44,0.0841,53.1,91.7,100.0,20
Flare Oracle,279813533,279813533,3.29,3.31,0.0564,45.5,87.8,100.0,20
NORTSO,272155129,272155129,3.20,3.18,0.0706,53.2,91.2,100.0,20
Atlas TSO,267793963,267793963,3.15,3.18,0.0756,65.1,92.9,100.0,20
EDP FTSO,242549284,242549284,2.85,2.69,0.0852,56.9,92.3,100.0,20
AlphaOracle,238554673,238554673,2.81,2.74,0.0742,46.5,90.8,100.0,20
Flare Dienst,238115324,238115324,2.80,2.95,0.0699,50.3,90.7,100.0,20
Ivy Oracle,220702835,220702835,2.60,2.57,0.0802,53.3,90.2,100.0,20
AureusOx,220112519,220112519,2.59,2.60,0.0750,43.1,89.0,100.0,20
Flare.Space,219211900,219211900,2.58,2.61,0.0731,48.0,89.1,100.0,20
PriceKraken,218300699,218300699,2.57,2.60,0.0802,48.0,89.1,100.0,
FTSO Plus,213687463,213687463,2.51,1.60,0.0778,45.2,88.9,100.0,20
LightFTSO,205485585,205485585,2.42,2.82,0.0761,45.5,90.3,100.0,
Lena Instruments,204269999,204269999,2.40,3.18,0.0652,50.2,91.7,100.0,20
Flare Beacon,203434881,203434881,2.39,2.38,0.0794,50.3,85.0,100.0,20
Solarius,199122435,199122435,2.34,2.61,0.0836,53.2,90.3,100.0,20
FTSO IT,177015984,177015984,2.08,Pending,N/A,0.0,0.0,N/A,N/A
O1 FTSO,165647152,165647152,1.95,2.11,0.0877,68.7,92.7,100.0,
FTSO AU,158011841,158011841,1.86,1.86,0.0459,26.6,82.4,100.0,20
Use Your Spark,148425130,148425130,1.75,1.74,0.0735,43.2,89.1,100.0,20
Flare Ocean,143920560,143920560,1.69,1.77,0.0565,52.8,89.7,100.0,18
Defi Oracles,122079033,122079033,1.44,1.42,0.0584,31.9,86.1,100.0,20
FTSO London,98547522,98547522,1.16,1.17,0.0633,34.9,85.3,100.0,20
Aternety,90215253,90215253,1.06,1.23,0.0483,44.2,91.0,100.0,20
Envision,85631736,85631736,1.01,1.03,0.0765,41.5,89.7,100.0,15
sToadz FTSO,64382726,64382726,0.76,0.76,0.0325,14.5,62.9,100.0,20
FTSO EU,48290562,48290562,0.57,0.57,0.0175,12.1,48.6,100.0,20
HEWG,41985610,41985610,0.49,0.49,0.0310,13.6,57.4,100.0,20
ACDTftso,40836080,40836080,0.48,0.46,0.0556,42.0,89.3,100.0,18
Hex Trust FTSO,40200583,40200583,0.47,0.47,0.0129,6.6,11.8,100.0,20
TheGrungies,36375635,36375635,0.43,0.41,0.0753,41.1,87.9,100.0,20
Scandinodes,35052532,35052532,0.41,Pending,N/A,0.0,0.0,N/A,N/A
WitterFTSO,33201687,33201687,0.39,0.39,0.0433,24.8,79.0,100.0,20
FTSO UK,30802997,30802997,0.36,Pending,N/A,0.1,34.5,100.0,N/A
FlareFTSO,30361306,30361306,0.36,0.35,0.0075,4.0,24.4,100.0,20
Oracle Daemon,27306094,27306094,0.32,0.32,0.0442,21.0,73.1,100.0,20
4DadsFTSO,25994767,25994767,0.31,0.30,0.0210,9.0,41.4,100.0,20
Sun-Dara,25692260,25692260,0.30,0.30,0.0122,5.8,22.7,100.0,20
FTSOCAN,23847609,23847609,0.28,0.28,0.0170,10.1,27.1,100.0,20
Sparkles FTSO,23678166,23678166,0.28,0.28,0.0108,3.7,5.9,100.0,20
AFOracle,23503407,23503407,0.28,0.28,0.0197,13.6,42.3,100.0,20
FTSO Express,22799454,22799454,0.27,Pending,N/A,0.0,4.6,100.0,N/A
SolidiFi FTSO,22744861,22744861,0.27,0.27,0.0101,4.4,21.1,100.0,20
uGaenn,22276157,22276157,0.26,0.26,0.0219,10.6,46.3,100.0,20
Xdrops Oracle,21954850,21954850,0.26,0.26,0.0178,9.3,33.1,100.0,20
Scintilla,21813989,21813989,0.26,0.26,0.0170,8.9,32.4,100.0,20
Flare Portal,21084641,21084641,0.25,0.25,0.0135,7.4,31.0,100.0,20
Ugly Kitty,21051735,21051735,0.25,0.25,0.0119,2.7,11.8,100.0,20
WonderFTSO,20508086,20508086,0.24,0.24,0.0109,5.2,27.1,100.0,20
TempestFTSO,20373075,20373075,0.24,0.24,0.0182,7.4,41.9,100.0,20
TailWind FTSO,20324028,20324028,0.24,Pending,N/A,7.7,59.2,100.0,N/A
Oracle Beast,20237395,20237395,0.24,Pending,N/A,0.1,30.1,100.0,N/A
FTSO4ALL,20232404,20232404,0.24,0.24,0.0136,6.0,25.8,100.0,20
Flaris,20187722,20187722,0.24,Pending,N/A,15.8,63.1,100.0,N/A
