Name,Active vote power,Locked vote power,Active vp %,Locked vp %,Reward rate,IQR rate 6h %,Elastic rate 6h %,Availability,Fee
Bifrost Wallet,1242829219,1242829219,4.04,4,0.0334,35.6,75.3,100,20
Atlas TSO,965184698,965184698,3.13,3.1,0.0619,54.9,83,100,20
Lena Instruments,924695263,924695263,3,2.98,0.0621,52.5,81.2,100,20
EvolveFTSO,913813329,913813329,2.97,2.85,0.0687,61,82.9,100,20
NORTSO,893872798,893872798,2.9,2.83,0.0655,62.7,83.9,100,
Flare Dienst,883589336,883589336,2.87,2.97,0.0543,47.9,80.7,100,20
Flare Oracle,846072561,846072561,2.75,2.71,0.0556,45.6,78.6,100,20
Solarius,841168926,841168926,2.73,2.45,0.0678,46.6,78.7,100,20
EDP FTSO,840680988,840680988,2.73,2.83,0.063,54.6,81.1,100,20
AlphaOracle,799054601,799054601,2.6,2.54,0.0655,46.5,79.4,100,20
Aternety,787803665,787803665,2.56,2.37,0.0673,43.7,78.4,100,
Flare Beacon,764429992,764429992,2.48,2.34,0.0673,50.9,80.8,100,
FTSO AU,714409695,714409695,2.32,2.25,0.046,31,71.6,100,20
AureusOx,685859391,685859391,2.23,2.29,0.0605,39.7,76.9,100,
Flare.Space,684513558,684513558,2.22,2.17,0.0627,44.5,78.9,100,20
FlareFi,663832292,663832292,2.16,2.15,0.0607,43.3,79.2,100,20
FTSO Plus,528504028,528504028,1.72,1.7,0.0565,37.1,76.7,100,
O1 FTSO,499663322,499663322,1.62,1.6,0.0792,59.8,80.4,100,
Flare Ocean,486906571,486906571,1.58,Pending,N/A,48.3,82.9,100,
Ivy Oracle,482282830,482282830,1.57,1.5,0.0664,46.7,79.8,100,
Envision,479905698,479905698,1.56,1.55,0.0586,37.2,77.5,100,
A-FTSO,443640800,443640800,1.44,1.43,0.039,17.4,57.3,100,20
Use Your Spark,201075766,201075766,0.65,0.66,0.0539,39.2,77.5,100,20
Defi Oracles,172125682,172125682,0.56,0.56,0.0416,24.8,67.6,100,20
FTSO London,167759152,167759152,0.54,0.54,0.057,35.9,74.5,100,20
FTSO EU,143483021,143483021,0.47,0.44,0.022,11.8,39.7,100,20
LightFTSO,138542300,138542300,0.45,0.57,0.0634,43.3,78.5,100,16
TheGrungies,126586280,126586280,0.41,0.29,0.0672,44.1,74.2,100,20
Kiln,98335700,98335700,0.32,0.32,0.0035,2.3,9,100,20
Scandinodes,92814227,92814227,0.3,Pending,N/A,0,0,N/A,N/A
Google Cloud,71449604,71449604,0.23,0.24,0.0288,22,61.5,100,20
Hex Trust FTSO,66593231,66593231,0.22,0.21,0.0165,9.6,30.8,100,20
FTSO UK,45902467,45902467,0.15,0.15,0.0126,7.9,18.4,100,20
FlareFTSO,40721129,40721129,0.13,0.13,0.0064,2.1,10,100,20
sToadz FTSO,38498669,38498669,0.13,0.13,0.0263,11.6,43.1,100,20
WitterFTSO,37544011,37544011,0.12,0.12,0.0347,18.3,54.1,100,
Mickey B Fresh,36397713,36397713,0.12,0.12,0.0097,3.8,15.3,100,20
Atomic Wallet,30502281,30502281,0.1,0.1,0.0018,1.5,3.1,100,20
FocusTSO,29512224,29512224,0.1,0.09,0.0036,2.3,6.3,100,
4DadsFTSO,27187102,27187102,0.09,0.09,0.0163,8.9,28.9,100,20
AFOracle,26075917,26075917,0.08,0.08,0.0252,13.2,45.2,100,20
Oracle Daemon,25456381,25456381,0.08,0.08,0.0314,15.6,38.1,100,20
Flare Portal,24842624,24842624,0.08,0.08,0.0102,4.5,12.5,100,20
Sun-Dara,24507577,24507577,0.08,0.08,0.0102,4.6,16.5,100,20
ACDTftso,24232121,24232121,0.08,0.08,0.0638,33.6,75.2,100,18
Sparkles FTSO,23997954,23997954,0.08,0.08,0.0137,7.9,16.3,100,20
Luganodes,22982568,22982568,0.07,0.07,0.0038,1.3,8.7,100,20
HEWG,22405293,22405293,0.07,0.07,0.0243,12.1,44.4,100,20
Ugly Kitty,22340710,22340710,0.07,0.07,0.021,8.5,33.9,100,20
Burst FTSO,21555784,21555784,0.07,0.07,0.0272,12.1,35.2,100,
TailWind FTSO,21389392,21389392,0.07,0.07,0.0119,5.5,23.6,100,20
Starlink Oracle,21262264,21262264,0.07,Pending,N/A,9.2,31.2,100,N/A
Scintilla,21120967,21120967,0.07,0.07,0.0181,8.4,26.8,100,20
True FTSO,21113237,21113237,0.07,0.07,0.0102,4.6,15.2,100,20
Xdrops Oracle,21024876,21024876,0.07,0.07,0.0137,6.4,23.4,100,20
SAKURA,21019546,21019546,0.07,0.07,0.0097,3.9,11.8,100,20
TempestFTSO,20768729,20768729,0.07,0.07,0.0149,5.4,25.8,100,20
FTSOCAN,20580234,20580234,0.07,0.07,0.0172,8.4,20.2,100,20
uGaenn,20472129,20472129,0.07,0.07,0.0148,7.8,34.2,100,20
Aimlezz,20389419,20389419,0.07,0.07,0.0201,12.9,34.9,100,20
DataVector,20238621,20238621,0.07,0.07,0.0096,4.8,14.7,100,20
African Proofs,20177977,20177977,0.07,0.06,0.008,3.7,12,100,20
Restake,20106683,20106683,0.07,Pending,N/A,0.4,0.7,100,N/A
Chainbase Staking,20065099,20065099,0.07,0.06,0.0084,3.8,14.2,100,20
A41,20019651,20019651,0.07,0.06,0.0057,2.6,7.7,100,20
