Address,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime,Fee
8qSyua2WVQ4uNRc1wwPKmSUWY421bifiq,199924191,30000000,169924191,75809,372,100.00%,10.00
MfzBQ6MbriE31UWm9NjSnEgLiR1cAkEnN,199845081,29990100,169854981,154919,332,99.99%,10.00
A7jk7Z5GA2aVe5ecuupNXWtSLfVjLDWFC,199915169,30000000,169915169,84831,265,99.98%,7.50
2hCHs6H4Vde8mdGGKidMvT4Fjit7goCBT,44999866,3000000,41999866,134,206,98.39%,2.00
Cg8PLmdZ9JmEtUBCZhq2jt2JDS5gDaSsQ,59936494,4000000,55936494,63506,203,99.97%,5.00
EgJba99Q5iDcL81A27E111WANn9eZNj4v,47092245,3500000,43592245,5407755,193,100.00%,20.00
HZwFckGTbucqTtE7qcv6z85mnScUfAeW6,149929129,10000000,139929129,70871,160,100.00%,15.00
NzPsG7kxDpS49cqWhvwaNXbJYPvVgTu6N,41683335,4000000,37683335,18316665,143,100.00%,20.00
FHPDnySFVqde5bGvEXsFnvZGhXwcyRfNY,130302300,15000000,115302300,69697700,142,97.02%,10.00
P4T4uKqveVxjZZXVdADHENdnCKnsCFvDE,43773347,3000000,40773347,1226653,116,100.00%,10.00
6cnsMcUNTJwCcDuAyPwJqEaVa6yMrk8eq,180453735,13333334,167120401,19546265,109,99.83%,17.50
7joNh7X4xsHBSXCpLQig22nSqU6xp41k8,101792107,6879915,94912192,1406618,109,99.96%,10.00
MsF6Xc1PsMWtcxVudCepWb5kUeF1EF8RX,106858058,8500000,98358058,20641942,100,100.00%,17.50
D3QKd6XxLnrKowkziZJSG4RNLtffz8ESk,52401046,3500000,48901046,98954,93,100.00%,19.00
3RJrjDMzeZQVDyHDjZ6u1X3Y3WCKY5nbb,77406263,13500000,63906263,122593737,87,100.00%,17.50
2xbUrUGcj9HuntjA4YPHQFWiMuQz428SL,18721171,1250000,17471171,28829,87,100.00%,20.00
Gy2c6Y1RNz2PZfAnTwHZMZ4RZ53nKPf1Q,55694719,30000000,25694719,144305281,85,100.00%,20.00
xi5DWBUKqBJUWvHiDEr9hpVNLGbxRtu2,76405672,30000000,46405672,123594328,84,99.99%,10.00
F297gLgRxBndijAYvvvBGtQTwYCrScMQT,52686939,4250000,48436939,11063061,79,100.00%,20.00
Bo98cjoi5LvF6jXAMHZZLQYutyeGutBQ1,103954426,7000000,96954426,1045574,78,100.00%,15.00
J9JZSkVJWCUYZ43n36q4fCixu7Tj4QR1P,32728151,2250000,30478151,1021849,78,100.00%,20.00
2q436GJKA5faTceNaAbu7CYxftv3K8fS4,61693483,6750000,54943483,39556517,78,99.88%,15.00
5V2bQbryZTU4pAe59KNHNBru1BwEfcXqg,76594678,13333334,63261344,123405322,77,99.98%,15.00
2a7BPY7UeJv2njMuyUHfBSTeQCYZj6bwV,110189714,7500000,102689714,2310286,76,99.99%,10.00
JZuVSDnBui1u82RmkbkWKJ1JxfdxuVYR9,77677959,30000000,47677959,122322041,76,99.98%,15.00
EJ7V3trSnp93txcLP3h4ULJvBhvUtP66c,58319898,10000000,48319898,91680102,73,99.93%,18.00
3phxSiKoYMj1dNSJysZhHYQKUbLX786jy,93894837,7700000,86194837,21605163,71,100.00%,20.00
FXJQRCN2nEqBYVsorBS5WHriwihjzv7G6,113054885,11000000,102054885,51945115,61,100.00%,15.00
