Address,Name,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime %,Fee %
8qSyua2WVQ4uNRc1wwPKmSUWY421bifiq,IntoTheBlock,199925191,30000000,169925191,74809,392,100.00,10.00
MfzBQ6MbriE31UWm9NjSnEgLiR1cAkEnN,ANKR,199667079,29990100,169676979,332921,334,99.99,10.00
A7jk7Z5GA2aVe5ecuupNXWtSLfVjLDWFC,A41,199973470,30000000,169973470,26530,278,99.98,7.50
2hCHs6H4Vde8mdGGKidMvT4Fjit7goCBT,HEWG,44999999,3000000,41999999,1,211,98.49,2.00
Cg8PLmdZ9JmEtUBCZhq2jt2JDS5gDaSsQ,Sun-Dara,60000000,4000000,56000000,0,210,99.97,5.00
EgJba99Q5iDcL81A27E111WANn9eZNj4v,Bifrost Wallet 1,49522230,3500000,46022230,2977770,202,100.00,20.00
NzPsG7kxDpS49cqWhvwaNXbJYPvVgTu6N,Bifrost Wallet 2,58485000,4000000,54485000,1515000,178,100.00,20.00
Gy2c6Y1RNz2PZfAnTwHZMZ4RZ53nKPf1Q,Google Cloud,199582421,30000000,169582421,417579,146,100.00,20.00
HZwFckGTbucqTtE7qcv6z85mnScUfAeW6,FTSO AU 1,130867824,10000000,120867824,19132176,124,100.00,15.00
6cnsMcUNTJwCcDuAyPwJqEaVa6yMrk8eq,A-FTSO,188692107,13333334,175358773,11307893,113,99.84,17.50
MsF6Xc1PsMWtcxVudCepWb5kUeF1EF8RX,Atlas TSO,127100613,8500000,118600613,399387,107,100.00,17.50
D3QKd6XxLnrKowkziZJSG4RNLtffz8ESk,FocusTSO 1,44746885,3500000,41246885,7753115,105,100.00,19.00
7joNh7X4xsHBSXCpLQig22nSqU6xp41k8,DataVector 1,96002317,6879915,89122402,7196408,99,99.97,10.00
F297gLgRxBndijAYvvvBGtQTwYCrScMQT,sToadz 2,63308312,4250000,59058312,441688,98,100.00,20.00
JZuVSDnBui1u82RmkbkWKJ1JxfdxuVYR9,Restake,88815752,30000000,58815752,111184248,98NO REWARDS,99.98,15.00
3RJrjDMzeZQVDyHDjZ6u1X3Y3WCKY5nbb,NORTSO,183879793,13500000,170379793,16120207,97,100.00,17.50
98RaC6gbJMhin1NXsBFUoicEqiF7VKWbL,TempestFTSO,61599453,4500000,57099453,5900547,87,99.99,20.00
2xbUrUGcj9HuntjA4YPHQFWiMuQz428SL,sToadz 1,18243245,1250000,16993245,506755,87,100.00,20.00
J9JZSkVJWCUYZ43n36q4fCixu7Tj4QR1P,FlareFTSO,33631329,2250000,31381329,118671,86,100.00,20.00
2q436GJKA5faTceNaAbu7CYxftv3K8fS4,Solarius,63972221,6750000,57222221,37277779,86,99.89,15.00
EJ7V3trSnp93txcLP3h4ULJvBhvUtP66c,SolidiFi,63079083,10000000,53079083,86920917,85,97.01,18.00
Bo98cjoi5LvF6jXAMHZZLQYutyeGutBQ1,FTSO AU 2,104965219,7000000,97965219,34781,83,100.00,15.00
FHPDnySFVqde5bGvEXsFnvZGhXwcyRfNY,Kiln,87660340,15000000,72660340,112339660,82,95.64,10.00
2a7BPY7UeJv2njMuyUHfBSTeQCYZj6bwV,Oracle Daemon 1,112498292,7500000,104998292,1708,80,100.00,10.00
FXJQRCN2nEqBYVsorBS5WHriwihjzv7G6,EvolveFTSO,158977105,11000000,147977105,6022895,76,100.00,15.00
B9o4BTqdc1qkrAn5BxLHL7pimWf9UwBkd,FTSO EU,67478346,4500000,62978346,21654,66,100.00,13.00
4hyFQEeDqpG9yyEnafTwqQQTTFex32KG2,Flare Oracle 2,40994946,6750000,34244946,60255054,63,99.99,18.00
3phxSiKoYMj1dNSJysZhHYQKUbLX786jy,AureusOx,97454798,7700000,89754798,18045202,63,100.00,20.00
P4T4uKqveVxjZZXVdADHENdnCKnsCFvDE,Aternety,26547753,3000000,23547753,18452247,61,100.00,10.00
EqTrzH8b9ax2oYwrKFkXqWAZjuK8uHFxS,EDP FTSO,41993044,3000000,38993044,3006956,60,100.00,20.00
MWNqxgXd8itY143jaNyq8aMYTeV1RXJgS,Luganodes,200000000,29900091,170099909,0,55,100.00,10.00
FERvNWfCH4mjCSoFnjF4YouDBuYZCpfKm,ComfyNodes,46219472,3250000,42969472,2530528,53,100.00,15.00
JFiAG1SiqUFh3EnkY8oXcXUg8RuT2guZp,KnotKnodes,45000000,3000000,42000000,0,52,100.00,10.00
J4nyqo44xFUxhAi9gDJXAkYyxP5z2a7UG,TheGrungies,28780958,2056380,26724578,2064742,51,99.99,20.00
NCBqn9P8oAEkYn6McyQjhF67WarSTttz5,Mickey B Fresh,36503222,2500000,34003222,996778,43,100.00,15.00
3qpQ3cVcU8UxvmCtkwGV4ZB3RYcKoDBRn,DataVector 2,85388656,9500000,75888656,57111344,40,100.00,10.00
5JkXthgpWVDq6utrtV1YVG7aspsHjhezM,INFStones,198727080,15000000,183727080,1272920,34,99.99,10.00
9jaZDNBCn4AwMzRqFBhxfem2ZZtiArRm2,Burst FTSO,48741992,3250000,45491992,8008,33,79.17,10.00
4zWvBNmsbaS9UKQf6wcWgWGWRfitcGAuV,INFStones,184202194,14999995,169202199,15797806,31,99.99,10.00
CrsvTSFLB8G3ziPaVjgH1pj8NQxSZkECD,Flare Beacon,33197913,2250000,30947913,552087,31,100.00,14.50
G5kkF5H1AGaY3n9h9PCXdiFqjyP1jYhJW,FocusTSO 2,18559297,12368726,6190571,166971593,30,100.00,20.00
3v6zserYt9MD58FCmsPo2Qto5AwYAkm6s,Northstake,34582353,30000009,4582344,165417647,29NO REWARDS,89.61,10.00
LxpVHRQAYXPRf7q5oz1iT4N1z9XHz5rHU,Gateway.fm,189836930,29999900,159837030,10163070,29,99.99,10.00
7niiMEHRfGLgT6VZ7bwb6Xa6vpGn8upVw,PriceKraken,108747204,7250000,101497204,2796,29,99.98,10.00
Nwi6MgscyMFQciLyabSFWpWHBQATBVGfk,Flare Portal,22925283,1750000,21175283,3324717,28,99.56,20.00
KtTdea6FeDDy5pERrZKHkkhtJFCbJNv1a,uGaenn,28911293,3000000,25911293,16088707,28,100.00,20.00
66rV9yEWSVGLC8fs9ynKptVf9f6bSbHC8,Flaris,59526284,7000000,52526284,45473716,27,92.98,10.00
9vmnHcK2XCBDf7uNfkq6CqRGpE6FJsN5K,FTSO4All,18803132,3000000,15803132,26196868,27,100.00,19.00
DAVrAR2VCxe7rnmkDaVUbW8jWd9b86cS,Envision,157491719,10500000,146991719,8281,27,100.00,12.00
9WF8MvjNhmR45AdNjVfAWp27KKq7KCGpm,Defi Oracles,32019492,3130007,28889486,14930608,26,98.11,20.00
4h6PNpK5oo9pjmE8zKSbm31S2LStg4tyF,FTSO.Asia,14261105,1000000,13261105,738895,26,98.01,20.00
DcUJTi6u5Xoutgr1A25iMu4Rp5JEbsEqr,Aimlezz,28364056,3800000,24564056,28635944,25,99.99,15.00
CtSfUZd8nvr4RDaQnKRiP9cae15Nrb1bX,Poisidon,27839413,3601200,24238213,26178587,25,100.00,12.50
FDR3CXdwP3H3Zz9QKfL61fk56zkPEgdFV,AFOracle 1,113335916,7592160,105743756,546484,25,100.00,15.00
LKS1hi95iVbqGDyU1vbkyPLd4wknJfqF9,FTSO UK,17750314,1216120,16534194,491486,24,99.99,20.00
MzMscku8ayAd2pBEmH8xWiAXBwtPgS2S5,Use Your Spark,61002647,8000000,53002647,58997353,24,100.00,15.00
JHnfNSNgSThSJEFG8aq99FRAE4a7Ko7UP,Bushi_FTSO,30826659,4000000,26826659,29173341,24,100.00,20.00
GGnTyHtMF7b8CELtUgFGTEHjEcjNF7RZ,Last Oracle,29032449,3000000,26032449,15967551,24,100.00,20.00
ECqqsWu9jpUvZgPyf9yPZZcyWmJjWyN1T,Flare.Space 1,199805215,13500000,186305215,194785,23,99.00,20.00
LcbbZYhBHn8HVjTzPASuHtFVAckcdctWS,Ugly Kitty,31028321,5000000,26028321,43971679,22,99.99,20.00
k4QG8eJ9bYu717nbj8Ki8VykK8g1VWK9,Aternety,26878869,3000000,23878869,18121131,21,100.00,20.00
NV7ZpcJvqzmvvT4PaeHWbTELWKFT2Jqxw,sToadz 3,21490899,1560700,19930199,1919601,21,100.00,20.00
4e5tHaeoLvpXjtY5uMXtuYJgEWZ2JiC4D,LightFTSO,33740134,2250000,31490134,9866,21,100.00,12.00
KB4zWTTeK5gHYKYmjftGGQ8nHy9NQbGax,Kiln,21198591,15000000,6198591,178801409,20,90.62,15.00
CeX1NfNPHCdaJXUVtkLysShaZCtsHRK3D,FTSOExpress,22182356,2172490,20009866,10404994,20NO REWARDS,97.81,20.00
Q3WJQcoixGGKnFs41B18rnJB9PS54M5oF,Last Oracle,17017220,10000000,7017220,132982780,19,96.46,15.00
N3GDYNsVNMxYTW4ULzrfRZpy3tRnhxKSQ,Oracle Daemon 2,67720295,20000000,47720295,132279705,18,100.00,10.00
5jV2rg4CGt6ewiDbB9QeWDEptVudskJeY,Ivy Oracle,13233075,2000000,11233075,16766925,17,100.00,15.00
CoNH4gyEwB9gTrEmozwh14Zr8hs6wokRS,4DadsFTSO,30975768,10000000,20975768,119024232,17,100.00,20.00
J8Zbi3b3AjTEUmHdE4KSApEU1U36iaeDS,Flare Oracle 1,28731027,8000000,20731027,91268973,16,100.00,18.00
EPLACd344ouymyJAQYXZBvbmU3NJ6ooeB,AFOracle 2,119070670,7959594,111111076,323240,15,100.00,15.00
P6nNyHc4QwyKoVSS7c9XatGp4Sityq7rM,FTSO London,20076954,3500000,16576954,32423046,14,100.00,20.00
7HLcuEFt7c1qTggK8AkLim9ekhPu2NYLM,Chainbase Staking,62731752,30000000,32731752,137268248,14,99.91,10.00
9Y4mWN6L4MPLA2tvAwMXDJXeAJYfD5Try,Sparkles FTSO,11400425,1000000,10400425,3599575,12,100.00,14.00
MN7sJduRdGUs3aWyYUmym2CFVsptzgKcJ,FTSO Plus,164969730,11000000,153969730,30270,11,100.00,18.00
7vz3A92AkLi9YRYTauPgvkdiMmhnuDRzj,Flare.Space 2,59549101,4000000,55549101,450899,11,98.31,20.00
Q9KeAQKSyxtJj8mfum951Q5akkoFBJLTs,Figment,33399529,30000000,3399529,166600471,10,99.95,20.00
K9g6YJEhWiN2TF1RsFTA8SEXFAJWvikhu,Last Oracle,14192919,10000000,4192919,135807081,9,100.00,15.00
5V2bQbryZTU4pAe59KNHNBru1BwEfcXqg,Flare Dienst,108520919,13333334,95187585,91479081,9,99.99,15.00
KRkND3cB1bYaWt71CSQdCUjRSR95d3cNz,AlphaOracle,21144226,5000000,16144226,53855774,9,100.00,20.00
FUA8LX6gJhNmiJVT5eycNsd2jKBHL7FBY,StakeCapital,70759562,32747171,38012391,129240438,8NO REWARDS,100.00,100.00
KH2o8xGFLYtCwseWgRbpDAf1n4zAcMNfN,Last Oracle,13887640,10000000,3887640,136112360,8,100.00,15.00
C3FRhsMBh3KNLKiVbc8xLY7gnVzmJ7EY9,WonderMach,19491995,3000000,16491995,25508005,8,99.93,20.00
GPBkpSGC7YpRbd1TsNZk84C2TQfNja6FQ,Starlink Oracle,21684995,3000000,18684995,23315005,7,73.30,20.00
NbTToANYcdsreLC5PBcE9gsMBpBY7N7s1,WitterFTSO,19589526,3750000,15839526,36660474,6,100.00,20.00
KzPd2Vx5WomGtur91B9K9R7to3mYyYga,FTSOCAN,18350000,3000000,15350000,26650000,6,100.00,18.00
FLPF99Gi1c79NGHw7GYyhttWPVxpCq713,African Proofs,18467822,3000000,15467822,26532178,5,99.54,12.50
B6sAUBEYn2fvHMeUnsUkh1yNrvTzKu8gZ,Xdrops Oracle,20770000,4000000,16770000,39230000,4,100.00,20.00
JF4XWnC9PjZVXQuqLcpQvxztdMez3CpkR,TailWind FTSO,18700617,3000000,15700617,26299383,4,97.04,18.00
Ckyh9cpfkkXSo5PYNNFactcrKkY2XhkXR,True FTSO,2120047,1250000,870047,16629953,3,100.00,20.00
xi5DWBUKqBJUWvHiDEr9hpVNLGbxRtu2,SenseiNode,30198107,30000000,198107,169801893,2,99.97,10.00
JA63moobNNMLby4ENNUiJqVJA2cdpks5J,ACDTftso,18401563,2751551,15650012,22871700,2,100.00,14.00
EBcyABp9i2wEgZbhiwnyLaqBwFFTdZXyd,Scintilla,7944000,3000000,4944000,37056000,1,100.00,20.00
5BWT2P6E2kjKWsVDVzsj2XwtuxiwV7oAq,FatCats,6000050,1000050,5000000,9000700,1,100.00,20.00
KppZbRMtfNTQZGdmHdkbHTJHgNPBCNxJj,FTShizO,1350000,1300000,50000,18150000,1,74.16,22.00
