Name,Active vote power,Locked vote power,Active vp %,Locked vp %,Reward rate,IQR rate 6h %,Elastic rate 6h %,Availability,Fee
A-FTSO,375259870,375259870,4.42,4.40,0.0353,33.0,87.1,100.0,20
Bifrost Wallet,356062022,356062022,4.19,4.34,0.0401,44.5,89.1,100.0,20
EvolveFTSO,306536082,306536082,3.61,3.56,0.0654,60.1,90.4,100.0,20
FlareFi,281785875,281785875,3.32,2.44,0.0827,50.7,91.0,100.0,20
Flare Oracle,279795304,279795304,3.29,3.31,0.0554,45.6,87.9,100.0,20
NORTSO,272100721,272100721,3.20,3.18,0.0693,52.3,89.7,100.0,20
Atlas TSO,267689143,267689143,3.15,3.18,0.0745,63.8,91.3,100.0,20
EDP FTSO,242338826,242338826,2.85,2.69,0.0833,56.1,91.0,100.0,20
AlphaOracle,238387755,238387755,2.80,2.74,0.0727,47.7,90.2,100.0,20
Flare Dienst,238192492,238192492,2.80,2.95,0.0686,52.1,89.7,100.0,20
Lena Instruments,236753107,236753107,2.79,3.18,0.0639,49.8,90.7,100.0,20
Solarius,231595061,231595061,2.72,2.61,0.0821,54.0,89.8,100.0,20
AureusOx,220896358,220896358,2.60,2.60,0.0738,43.4,88.4,100.0,20
Ivy Oracle,220701452,220701452,2.60,2.57,0.0789,53.2,88.8,100.0,20
Flare.Space,217378232,217378232,2.56,2.61,0.0716,45.7,85.6,100.0,20
PriceKraken,216997131,216997131,2.55,2.60,0.0793,48.3,88.4,100.0,
LightFTSO,206042279,206042279,2.42,2.82,0.0746,42.9,88.6,100.0,
Flare Beacon,204253450,204253450,2.40,2.38,0.0779,50.8,84.2,100.0,20
FTSO IT,177015984,177015984,2.08,Pending,N/A,0.0,0.0,N/A,N/A
O1 FTSO,165645359,165645359,1.95,2.11,0.0856,67.4,91.2,100.0,
FTSO AU,158037463,158037463,1.86,1.86,0.0448,25.9,81.8,100.0,20
FTSO Plus,148681117,148681117,1.75,1.60,0.0762,41.5,87.3,100.0,20
Use Your Spark,148423774,148423774,1.75,1.74,0.0723,41.5,88.2,100.0,20
Flare Ocean,145785910,145785910,1.72,1.77,0.0550,54.0,89.9,100.0,18
Defi Oracles,122052108,122052108,1.44,1.42,0.0576,32.5,86.5,100.0,20
FTSO London,98543772,98543772,1.16,1.17,0.0619,34.3,84.4,100.0,20
Aternety,90176824,90176824,1.06,1.23,0.0468,45.4,89.8,100.0,20
Envision,85596447,85596447,1.01,1.03,0.0749,39.7,88.7,100.0,15
sToadz FTSO,64382638,64382638,0.76,0.76,0.0317,14.5,64.3,100.0,20
FTSO EU,48290388,48290388,0.57,0.57,0.0171,13.2,52.6,100.0,20
HEWG,41985610,41985610,0.49,0.49,0.0305,14.2,60.9,100.0,20
ACDTftso,40858681,40858681,0.48,0.46,0.0543,40.6,88.6,100.0,18
Hex Trust FTSO,40200583,40200583,0.47,0.47,0.0126,6.4,11.6,100.0,20
TheGrungies,36375451,36375451,0.43,0.41,0.0740,39.7,85.8,100.0,20
Scandinodes,35052512,35052512,0.41,Pending,N/A,0.0,0.0,N/A,N/A
WitterFTSO,33201688,33201688,0.39,0.39,0.0425,25.0,80.7,100.0,20
FTSO UK,30803049,30803049,0.36,Pending,N/A,0.1,34.5,100.0,N/A
FlareFTSO,30361273,30361273,0.36,0.35,0.0073,3.6,22.3,100.0,20
Oracle Daemon,27306082,27306082,0.32,0.32,0.0435,21.4,74.3,100.0,20
4DadsFTSO,25994765,25994765,0.31,0.30,0.0207,9.7,46.7,100.0,20
Sun-Dara,25692229,25692229,0.30,0.30,0.0120,6.0,26.1,100.0,20
FTSOCAN,23847609,23847609,0.28,0.28,0.0165,10.4,28.4,100.0,20
Sparkles FTSO,23678166,23678166,0.28,0.28,0.0106,4.4,6.6,100.0,20
AFOracle,23503407,23503407,0.28,0.28,0.0191,15.0,46.5,100.0,20
FTSO Express,22799422,22799422,0.27,Pending,N/A,0.0,4.6,100.0,N/A
SolidiFi FTSO,22747356,22747356,0.27,0.27,0.0100,4.8,23.6,100.0,20
uGaenn,22276157,22276157,0.26,0.26,0.0213,10.9,49.1,100.0,20
Xdrops Oracle,21958846,21958846,0.26,0.26,0.0174,8.8,33.2,100.0,20
Scintilla,21813989,21813989,0.26,0.26,0.0168,9.3,33.8,100.0,20
Flare Portal,21084641,21084641,0.25,0.25,0.0133,8.0,33.9,100.0,20
Ugly Kitty,21051735,21051735,0.25,0.25,0.0118,3.0,13.0,100.0,20
WonderFTSO,20508086,20508086,0.24,0.24,0.0107,6.7,31.1,100.0,20
TempestFTSO,20372981,20372981,0.24,0.24,0.0179,8.1,45.5,100.0,20
TailWind FTSO,20324028,20324028,0.24,Pending,N/A,7.7,59.2,100.0,N/A
Oracle Beast,20237395,20237395,0.24,Pending,N/A,0.1,30.1,100.0,N/A
FTSO4ALL,20232404,20232404,0.24,0.24,0.0134,6.7,29.4,100.0,20
Flaris,20187722,20187722,0.24,Pending,N/A,15.8,63.1,100.0,N/A
HONO-TSO,20170977,20170977,0.24,0.24,0.0244,10.7,50.2,100.0,20
True FTSO,20155355,20155355,0.24,0.24,0.0088,5.3,25.0,100.0,20
0x1a696acb220a4f76153c779f828d0ba99028770a,20054970,20054970,0.24,Pending,N/A,4.4,26.3,100.0,N/A
African Proofs,20028166,20028166,0.24,Pending,N/A,0.0,21.1,100.0,N/A
FTSO.asia,20018942,20018942,0.24,0.23,0.0180,9.3,42.9,100.0,20
Aimlezz,20009081,20009081,0.24,0.23,0.0080,11.5,57.8,100.0,20
Fly2Sonic,4248141,4248141,0.05,Pending,N/A,0.5,91.2,100.0,N/A
DIONE,278751,278751,0.00,Pending,N/A,0.0,0.0,N/A,N/A
0xd06225a70d865c7a737a0beec744b0c420e9bfdb,226597,226597,0.00,Pending,N/A,0.0,0.0,N/A,N/A
