Name,Address,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1499,3.917084989526888e+19,66408034,1.3303034798346185e+26,1.3303034798346185e+26
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,375,9.816005031882891e+18,66408032,2.1017440208748963e+25,2.1017440208748963e+25
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,366,9.584089162094076e+18,66408033,2.035797601432736e+25,2.035797601432736e+25
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,2135,5.575944257508881e+19,66408033,2.256697769424865e+26,2.1302208481174118e+26
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,376,9.839350585141414e+18,66408032,2.1084116522515043e+25,2.1084116522515043e+25
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,434,1.1349586011372595e+19,66408032,2.5505876725984444e+25,2.5505876725984444e+25
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,2135,5.575944257508881e+19,66408032,3.739982324186681e+26,2.1302208481174118e+26
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,2135,5.575944257508881e+19,66408033,2.2458643784654355e+26,2.1302208481174118e+26
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,2135,5.575944257508881e+19,66408034,2.6859013158156193e+26,2.1302208481174118e+26
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,2135,5.575944257508881e+19,66408037,2.2924439290887654e+26,2.1302208481174118e+26
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,1869,4.882471280439887e+19,66408033,1.7845125388116935e+26,1.7845125388116935e+26
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,546,1.427451401594893e+19,66408039,3.4627025417417005e+25,3.4627025417417005e+25
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,369,9.654148019772273e+18,66408033,2.055664134239847e+25,2.055664134239847e+25
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,2135,5.575944257508881e+19,66408035,2.1930241292843975e+26,2.1302208481174118e+26
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,2135,5.575944257508881e+19,66408036,2.787833494767459e+26,2.1302208481174118e+26
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,2135,5.575944257508881e+19,66408032,2.1304671045097298e+26,2.1302208481174118e+26
