Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1451,3.732420734234594e+19,69950558,124734769.38990402,124734769.38990402
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,382,9.84077863195566e+18,69950554,21088190.076282833,21088190.076282833
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,372,9.584237565584871e+18,69950553,20358395.62473359,20358395.62473359
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2168,5.574394769623513e+19,69950567,213666226.90241337,212943169.9494182
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,378,9.727563905261111e+18,69950554,20765335.907209083,20765335.907209083
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,453,1.1650709316698687e+19,69950553,26412117.82251604,26412117.82251604
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2168,5.574394769623513e+19,69950554,374451980.5329759,212943169.9494182
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2168,5.574394769623513e+19,69950554,218344911.37370318,212943169.9494182
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2168,5.574394769623513e+19,69950552,270958457.0349373,212943169.9494182
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,1,2168,5.574394769623513e+19,69950557,237024630.07775775,212943169.9494182
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,1,1644,4.2279571542129074e+19,69950556,147290308.84250563,147290308.84250563
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,1221,3.1392797032981557e+19,69950559,99031499.2050777,99031499.2050777
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,376,9.666638351528995e+18,69950560,20592107.805917107,20592107.805917107
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,1,2168,5.574394769623513e+19,69950556,274477619.9540085,212943169.9494182
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2168,5.574394769623513e+19,69950558,279369539.9317127,212943169.9494182
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2168,5.574394769623513e+19,69950554,222386217.93920836,212943169.9494182
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,1,2162,5.558150360380703e+19,69950559,212116155.42857924,212116155.42857924
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,641,1.6496569591886445e+19,69950553,41994421.982655585,41994421.982655585
