Name,Address,Active,Registration_weight,Primary (%),Secondary (%),Availability (%),Total reward,Current earnings,Reward rate
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,True,374625741.8741618,17.6,33.11,99.95,7586.319025063172,7586.319025063172,0.008100157759699756
EvolveFTSO,0x89f7498a8db97FF7d8ef323E480Cb18dB44a1309,True,305467526.91117996,74.48,47.68,100.0,28427.0579953805,28427.0579953805,0.037224327289815215
Flare Oracle,0x6c2209754845dF0FC01D048c3F3C3537B5D35B9c,True,280722932.7537633,55.65,42.74,100.0,17214.537197593927,17214.537197593927,0.02452886485436328
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,True,271649633.81869763,65.21,46.93,100.0,25167.73973801468,25167.73973801468,0.037059118224045826
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,True,266399339.72440973,71.25,48.15,100.0,26928.45358378409,26928.45358378409,0.040433213703369664
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,True,244782200.0131526,74.76,47.39,99.96,28067.471545763932,28067.471545763932,0.04586521657907448
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,True,243148636.04751658,63.03,45.87,100.0,24672.904630740366,24672.904630740366,0.040589007665120094
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,True,241397368.03707382,59.24,43.34,99.96,21722.83455631744,21722.83455631744,0.0359951473091144
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,True,239059278.37258878,67.52,46.19,99.96,25330.70058885336,25330.70058885336,0.042383965619395676
FlareFi,0x98BBe5658da8B31FbD3F07157a2cff4D10c0f22e,True,235119532.05040875,53.25,42.28,95.27,13834.668060769805,13834.668060769805,0.02353639944775614
PRICEKRAKEN,0x4F84caAb4a53Aabbad2dfE1013d2bB53EDBF2f0a,True,231359489.95757622,56.79,42.39,95.43,21458.99515548027,21458.99515548027,0.037100695820889214
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,True,227319539.56691912,33.45,38.63,100.0,13687.671399375595,13687.671399375595,0.024085340706659616
EDPFTSO,0x8ddd48b520Df91f05C5d8c19b2cEE59ABe65978a,True,227208593.91148227,77.24,47.98,99.93,28565.763695784204,28565.763695784204,0.05028993525995427
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,True,221606745.68797517,61.43,46.12,100.0,24375.517313826636,24375.517313826636,0.043997789396082086
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,True,221205859.1904206,37.69,37.22,99.86,14868.366248640259,14868.366248640259,0.02688602608096583
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,True,220092902.7404931,47.68,39.0,99.68,18479.49905273985,18479.49905273985,0.033584906778259246
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,True,202566209.7344647,63.68,47.03,99.65,23401.384189404052,23401.384189404052,0.04620984757542715
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,True,170797273.41822228,68.86,47.65,100.0,20561.773972548028,20561.773972548028,0.048154806130188035
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,True,158520418.84657854,5.29,9.24,98.34,1675.4186477252636,1675.4186477252636,0.004227641233642691
Use Your Spark,0x661a71e863c887E68aa8c9348e8AA60E48a868Ad,True,148644822.23723203,32.27,34.76,99.84,9291.105479511738,9291.105479511738,0.025002163787941307
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,True,142130486.66630802,17.64,16.72,96.98,4783.816760796586,4707.861899678857,0.013249407667847955
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,True,122754687.95153283,10.07,14.18,99.96,2684.813666459302,2684.813666459302,0.008748549521854011
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,True,115904308.40950125,0.0,0.0,0.0,0.0,0.0,0.0
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,True,99683775.59038296,31.61,34.96,99.93,6418.852018937599,6418.852018937599,0.025756857546462595
Aternety,0xAb3DAe93cD52f6e2A0809Dc19567C79ac3b1e225,True,96179782.50071353,4.86,9.35,100.0,1029.0067841125249,1029.0067841125249,0.004279513874362904
Envision,0xC1d269E9D2A39c6A285EaAF53Eb9fe9b7245C87E,True,80114093.98167282,27.45,30.02,99.93,4360.302238960588,4360.302238960588,0.0217704627101347
sToadz FTSO,0xa0E1FBA30e75e2d0D6C428cFF4B3b6A06233422b,True,64518713.63600213,7.66,13.9,100.0,1156.18940682982,1156.18940682982,0.0071680871590387935
,0x90C0Edf240397D461eBe7DF9b41EE9b4415F3432,True,56876909.04096606,40.86,41.78,99.87,4335.152709676028,4335.152709676028,0.030487962744625233
ACDTftso,0x527E5e829763885008E171493C0E8d4A1eC48239,True,48348772.553207494,47.22,38.93,96.54,3963.0131247265836,3963.0131247265836,0.0327868768156653
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,True,48326632.43168673,6.35,11.43,97.36,657.4394779671868,657.4394779671868,0.005441632862761759
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,True,41976066.11918403,7.08,12.94,99.93,694.3585741577182,618.40371303999,0.0058929172760890545
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,True,34796034.7473509,64.3,45.95,99.23,4048.5538196776106,4048.5538196776106,0.046540404377379066
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,True,33197185.82349161,7.45,13.95,100.0,621.1766234399446,621.1766234399446,0.007484690139010229
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,True,30371165.6893046,8.38,13.05,81.11,554.8421359946768,554.8421359946768,0.007307485549559503
Oracle Daemon,0xaDEDCd23941E479b4736B38e271Eb926596BBe3d,True,27295275.570282914,8.53,13.05,81.57,486.295900323481,486.295900323481,0.0071264479315669435
