Address,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime,Fee
8qSyua2WVQ4uNRc1wwPKmSUWY421bifiq,199949972,30000000,169949972,50028,375,100.00%,10.00
MfzBQ6MbriE31UWm9NjSnEgLiR1cAkEnN,199952410,29990100,169962310,47590,320,99.99%,10.00
A7jk7Z5GA2aVe5ecuupNXWtSLfVjLDWFC,199879725,30000000,169879725,120275,246,99.98%,7.50
EgJba99Q5iDcL81A27E111WANn9eZNj4v,49264614,3500000,45764614,3235386,210,100.00%,20.00
2hCHs6H4Vde8mdGGKidMvT4Fjit7goCBT,44999895,3000000,41999895,105,198,98.15%,2.00
HZwFckGTbucqTtE7qcv6z85mnScUfAeW6,145506322,10000000,135506322,4493678,186,100.00%,15.00
Cg8PLmdZ9JmEtUBCZhq2jt2JDS5gDaSsQ,59945521,4000000,55945521,54479,170,99.96%,5.00
G5kkF5H1AGaY3n9h9PCXdiFqjyP1jYhJW,67294627,11377673,55916954,103370468,134,100.00%,19.50
5V2bQbryZTU4pAe59KNHNBru1BwEfcXqg,183679514,13333334,170346180,16320486,122,99.98%,15.00
FHPDnySFVqde5bGvEXsFnvZGhXwcyRfNY,171125583,15000000,156125583,28874417,122,96.56%,10.00
P4T4uKqveVxjZZXVdADHENdnCKnsCFvDE,44904094,3000000,41904094,95906,105,100.00%,10.00
6cnsMcUNTJwCcDuAyPwJqEaVa6yMrk8eq,126735091,13333334,113401757,73264909,96,99.81%,17.50
MsF6Xc1PsMWtcxVudCepWb5kUeF1EF8RX,95985500,8500000,87485500,31514500,91,100.00%,17.50
xi5DWBUKqBJUWvHiDEr9hpVNLGbxRtu2,78501871,30000000,48501871,121498129,88,99.99%,10.00
3qpQ3cVcU8UxvmCtkwGV4ZB3RYcKoDBRn,77133713,7750000,69383713,39116287,86,99.96%,10.00
7joNh7X4xsHBSXCpLQig22nSqU6xp41k8,102056362,6879915,95176447,1142363,78,99.93%,10.00
J9JZSkVJWCUYZ43n36q4fCixu7Tj4QR1P,32766400,2250000,30516400,983600,78,100.00%,20.00
3RJrjDMzeZQVDyHDjZ6u1X3Y3WCKY5nbb,72348413,13500000,58848413,127651587,77,100.00%,17.50
2xbUrUGcj9HuntjA4YPHQFWiMuQz428SL,17035236,1250000,15785236,1714764,77,100.00%,20.00
EqTrzH8b9ax2oYwrKFkXqWAZjuK8uHFxS,38311445,3000000,35311445,6688555,69,99.99%,20.00
D3QKd6XxLnrKowkziZJSG4RNLtffz8ESk,50356556,3500000,46856556,2143444,65,100.00%,19.00
EJ7V3trSnp93txcLP3h4ULJvBhvUtP66c,55892329,10000000,45892329,94107671,63,99.92%,18.00
Gy2c6Y1RNz2PZfAnTwHZMZ4RZ53nKPf1Q,63350126,30000000,33350126,136649874,62,100.00%,20.00
2q436GJKA5faTceNaAbu7CYxftv3K8fS4,73571248,6750000,66821248,27678752,62,99.87%,15.00
CtSfUZd8nvr4RDaQnKRiP9cae15Nrb1bX,28696831,2851000,25845831,14068169,60,99.99%,10.00
NzPsG7kxDpS49cqWhvwaNXbJYPvVgTu6N,12162845,4000000,8162845,47837155,59,100.00%,20.00
FXJQRCN2nEqBYVsorBS5WHriwihjzv7G6,89632418,11000000,78632418,75367582,56,100.00%,15.00
JZuVSDnBui1u82RmkbkWKJ1JxfdxuVYR9,44414561,30000000,14414561,155585439,56,99.98%,15.00
4hyFQEeDqpG9yyEnafTwqQQTTFex32KG2,32504760,6750000,25754760,68745240,55,99.99%,18.00
98RaC6gbJMhin1NXsBFUoicEqiF7VKWbL,40015302,4500000,35515302,27484698,54,100.00%,20.00
B9o4BTqdc1qkrAn5BxLHL7pimWf9UwBkd,62918869,4500000,58418869,4581131,51,100.00%,13.00
3phxSiKoYMj1dNSJysZhHYQKUbLX786jy,40621591,7700000,32921591,74878409,48,100.00%,20.00
Bo98cjoi5LvF6jXAMHZZLQYutyeGutBQ1,61121948,7000000,54121948,43878052,45,100.00%,15.00
66rV9yEWSVGLC8fs9ynKptVf9f6bSbHC8,47271607,4500000,42771607,20228393,38,96.24%,10.00
NCBqn9P8oAEkYn6McyQjhF67WarSTttz5,33447995,2500000,30947995,4052005,38,100.00%,15.00
KRkND3cB1bYaWt71CSQdCUjRSR95d3cNz,29774951,5000000,24774951,45225049,37,100.00%,20.00
3v6zserYt9MD58FCmsPo2Qto5AwYAkm6s,40823017,30000009,10823008,159176983,37NO REWARDS,88.13%,10.00
F297gLgRxBndijAYvvvBGtQTwYCrScMQT,11002032,4250000,6752032,52747968,37,100.00%,20.00
NV7ZpcJvqzmvvT4PaeHWbTELWKFT2Jqxw,17647467,1190000,16457467,202533,34,100.00%,20.00
JF4XWnC9PjZVXQuqLcpQvxztdMez3CpkR,32516548,3000000,29516548,12483452,33,94.33%,18.00
B6sAUBEYn2fvHMeUnsUkh1yNrvTzKu8gZ,27731739,3250000,24481739,21018261,32,99.96%,18.00
JFiAG1SiqUFh3EnkY8oXcXUg8RuT2guZp,39384807,3000000,36384807,5615193,30,100.00%,10.00
KtTdea6FeDDy5pERrZKHkkhtJFCbJNv1a,28979691,3000000,25979691,16020309,29,100.00%,20.00
4zWvBNmsbaS9UKQf6wcWgWGWRfitcGAuV,192580136,14999995,177580141,7419864,28,100.00%,10.00
5jV2rg4CGt6ewiDbB9QeWDEptVudskJeY,29633678,2000000,27633678,366322,27,100.00%,15.00
FDR3CXdwP3H3Zz9QKfL61fk56zkPEgdFV,111680654,7592160,104088494,2201746,26,100.00%,15.00
LxpVHRQAYXPRf7q5oz1iT4N1z9XHz5rHU,183958601,29999900,153958701,16041399,26NO REWARDS,100.00%,10.00
LcbbZYhBHn8HVjTzPASuHtFVAckcdctWS,33775361,5000000,28775361,41224639,26,99.99%,20.00
MN7sJduRdGUs3aWyYUmym2CFVsptzgKcJ,149566633,11000000,138566633,15433367,24,100.00%,18.00
J4nyqo44xFUxhAi9gDJXAkYyxP5z2a7UG,18169744,2056380,16113364,12675956,24,99.99%,20.00
5JkXthgpWVDq6utrtV1YVG7aspsHjhezM,199293636,15000000,184293636,706364,24,99.99%,10.00
CrsvTSFLB8G3ziPaVjgH1pj8NQxSZkECD,16241654,1750000,14491654,10008346,23,99.98%,14.50
ECqqsWu9jpUvZgPyf9yPZZcyWmJjWyN1T,199760940,13500000,186260940,239060,23,100.00%,20.00
MWNqxgXd8itY143jaNyq8aMYTeV1RXJgS,188890283,29900091,158990192,11109717,23,100.00%,10.00
JA63moobNNMLby4ENNUiJqVJA2cdpks5J,25639123,2751551,22887572,15634140,21,100.00%,14.00
9jaZDNBCn4AwMzRqFBhxfem2ZZtiArRm2,29360102,3250000,26110102,19389898,20,97.55%,10.00
DcUJTi6u5Xoutgr1A25iMu4Rp5JEbsEqr,25274652,3800000,21474652,31725348,19,99.99%,15.00
DAVrAR2VCxe7rnmkDaVUbW8jWd9b86cS,151166629,10500000,140666629,6333371,18,100.00%,12.00
FERvNWfCH4mjCSoFnjF4YouDBuYZCpfKm,26026424,3250000,22776424,22723576,17,90.21%,15.00
EBcyABp9i2wEgZbhiwnyLaqBwFFTdZXyd,27929698,3000000,24929698,17070302,16,100.00%,18.00
9Y4mWN6L4MPLA2tvAwMXDJXeAJYfD5Try,12757436,1000000,11757436,2242564,15,100.00%,14.00
Ckyh9cpfkkXSo5PYNNFactcrKkY2XhkXR,15299998,1250000,14049998,3450002,15,100.00%,20.00
NbTToANYcdsreLC5PBcE9gsMBpBY7N7s1,24504327,3000000,21504327,20495673,15,100.00%,20.00
